,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
0,BBC,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,Mon Apr 09 15:42:30 +0000 2018,0.4003,0.144,0.0,0.856,1
1,BBC,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",Mon Apr 09 15:29:26 +0000 2018,0.5411,0.189,0.0,0.811,2
2,BBC,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",Mon Apr 09 15:07:08 +0000 2018,0.5267,0.207,0.0,0.793,3
3,BBC,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL",Mon Apr 09 14:02:03 +0000 2018,0.5267,0.145,0.0,0.855,4
4,BBC,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",Mon Apr 09 13:01:05 +0000 2018,0.4404,0.293,0.0,0.707,5
5,BBC,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,Mon Apr 09 12:31:27 +0000 2018,0.0,0.0,0.0,1.0,6
6,BBC,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",Mon Apr 09 12:28:16 +0000 2018,0.0,0.0,0.0,1.0,7
7,BBC,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",Mon Apr 09 12:14:30 +0000 2018,0.34,0.112,0.0,0.888,8
8,BBC,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",Mon Apr 09 12:12:54 +0000 2018,0.6705,0.208,0.0,0.792,9
9,BBC,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,Mon Apr 09 12:02:02 +0000 2018,0.0,0.0,0.0,1.0,10
10,BBC,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",Mon Apr 09 11:50:07 +0000 2018,0.0,0.0,0.0,1.0,11
11,BBC,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,Mon Apr 09 11:27:01 +0000 2018,-0.2023,0.068,0.098,0.833,12
12,BBC,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC",Mon Apr 09 11:16:03 +0000 2018,0.6757,0.268,0.083,0.649,13
13,BBC,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",Mon Apr 09 10:41:24 +0000 2018,0.0,0.0,0.0,1.0,14
14,BBC,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2,Mon Apr 09 08:56:59 +0000 2018,0.0,0.0,0.0,1.0,15
15,BBC,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6",Mon Apr 09 08:40:53 +0000 2018,-0.3252,0.0,0.109,0.891,16
16,BBC,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH",Mon Apr 09 08:01:01 +0000 2018,0.0,0.0,0.0,1.0,17
17,BBC,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO",Mon Apr 09 07:27:04 +0000 2018,-0.3182,0.0,0.103,0.897,18
18,BBC,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,Mon Apr 09 07:00:14 +0000 2018,0.0,0.0,0.0,1.0,19
19,BBC,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",Sun Apr 08 19:02:05 +0000 2018,0.0,0.0,0.0,1.0,20
20,BBC,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,Mon Apr 09 15:42:30 +0000 2018,0.4003,0.144,0.0,0.856,21
21,BBC,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",Mon Apr 09 15:29:26 +0000 2018,0.5411,0.189,0.0,0.811,22
22,BBC,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",Mon Apr 09 15:07:08 +0000 2018,0.5267,0.207,0.0,0.793,23
23,BBC,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL",Mon Apr 09 14:02:03 +0000 2018,0.5267,0.145,0.0,0.855,24
24,BBC,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",Mon Apr 09 13:01:05 +0000 2018,0.4404,0.293,0.0,0.707,25
25,BBC,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,Mon Apr 09 12:31:27 +0000 2018,0.0,0.0,0.0,1.0,26
26,BBC,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",Mon Apr 09 12:28:16 +0000 2018,0.0,0.0,0.0,1.0,27
27,BBC,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",Mon Apr 09 12:14:30 +0000 2018,0.34,0.112,0.0,0.888,28
28,BBC,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",Mon Apr 09 12:12:54 +0000 2018,0.6705,0.208,0.0,0.792,29
29,BBC,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,Mon Apr 09 12:02:02 +0000 2018,0.0,0.0,0.0,1.0,30
