,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
0,CBS,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu,Mon Apr 09 15:00:00 +0000 2018,0.2732,0.129,0.086,0.784,1
1,CBS,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb,Mon Apr 09 13:36:00 +0000 2018,0.6239,0.214,0.0,0.786,2
2,CBS,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,Mon Apr 09 01:42:06 +0000 2018,0.6467,0.28,0.0,0.72,3
3,CBS,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN,Sun Apr 08 22:00:01 +0000 2018,0.7096,0.258,0.0,0.742,4
4,CBS,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ,Sun Apr 08 18:38:13 +0000 2018,0.5562,0.146,0.0,0.854,5
5,CBS,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme",Sun Apr 08 15:00:00 +0000 2018,0.4199,0.108,0.0,0.892,6
6,CBS,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k,Sat Apr 07 19:35:08 +0000 2018,0.6696,0.183,0.0,0.817,7
7,CBS,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H,Sat Apr 07 18:28:03 +0000 2018,0.0,0.0,0.0,1.0,8
8,CBS,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn,Sat Apr 07 16:30:02 +0000 2018,0.3612,0.106,0.0,0.894,9
9,CBS,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7",Sat Apr 07 15:31:12 +0000 2018,0.0,0.0,0.0,1.0,10
10,CBS,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX,Fri Apr 06 21:10:18 +0000 2018,0.0,0.0,0.0,1.0,11
11,CBS,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e,Fri Apr 06 17:00:00 +0000 2018,0.0,0.0,0.0,1.0,12
12,CBS,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM,Fri Apr 06 13:45:00 +0000 2018,0.0,0.0,0.0,1.0,13
13,CBS,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa,Thu Apr 05 21:44:00 +0000 2018,0.5859,0.194,0.0,0.806,14
14,CBS,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh",Thu Apr 05 19:07:48 +0000 2018,0.6597,0.241,0.0,0.759,15
15,CBS,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3",Thu Apr 05 17:00:00 +0000 2018,-0.3875,0.074,0.157,0.769,16
16,CBS,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ,Wed Apr 04 22:07:01 +0000 2018,0.807,0.313,0.0,0.687,17
17,CBS,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…",Wed Apr 04 21:48:07 +0000 2018,0.7568,0.288,0.0,0.712,18
18,CBS,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…",Wed Apr 04 21:47:26 +0000 2018,0.8495,0.366,0.0,0.634,19
19,CBS,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg,Wed Apr 04 21:46:13 +0000 2018,0.4926,0.197,0.0,0.803,20
20,CBS,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu,Mon Apr 09 15:00:00 +0000 2018,0.2732,0.129,0.086,0.784,21
