,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
0,CNN,"Facebook CEO Mark Zuckerberg is on Capitol Hill to meet with lawmakers, including members of committees holding hea… https://t.co/vTmwxfTEHS",Mon Apr 09 15:51:28 +0000 2018,0.0,0.0,0.0,1.0,1
1,CNN,"Sean Hannity, who mocked Michelle Obama, says it's wrong to mock Melania Trump | via @CNNopinion… https://t.co/AgR2qL6zuv",Mon Apr 09 15:50:06 +0000 2018,-0.802,0.0,0.387,0.613,2
2,CNN,"Oklahoma teachers continue their walkout for a sixth day today, maintaining their pressure on state legislators for… https://t.co/Jppkmfi74G",Mon Apr 09 15:40:08 +0000 2018,-0.5423,0.0,0.231,0.769,3
3,CNN,"Rick Scott is the toughest challenger Bill Nelson has faced for Florida Senate, but Nelson's still a slight favorit… https://t.co/EHq9izkgN9",Mon Apr 09 15:30:10 +0000 2018,0.0258,0.064,0.059,0.876,4
4,CNN,What cities and states are doing about guns since the Parkland shooting https://t.co/vngGcWVQF7 https://t.co/9chaUhwhAl,Mon Apr 09 15:20:12 +0000 2018,0.0,0.0,0.0,1.0,5
5,CNN,The FDA worried this drug was risky. Now doctors are concerned about the report of more than 700 deaths in the less… https://t.co/esK5Q2wVDM,Mon Apr 09 15:12:03 +0000 2018,-0.4588,0.0,0.16,0.84,6
6,CNN,People from both Canada and the United States are sharing photos of hockey sticks left on porches as a tribute to p… https://t.co/ubUTEoRBxU,Mon Apr 09 15:07:36 +0000 2018,0.6808,0.219,0.0,0.781,7
7,CNN,"A disaster was narrowly averted in eastern India on Saturday after a runaway train carrying up to 1,000 passengers… https://t.co/3DeQiqTNRR",Mon Apr 09 15:03:51 +0000 2018,-0.6597,0.0,0.252,0.748,8
8,CNN,Prince Harry and Meghan Markle are asking people who wish to send them a wedding gift to consider donating to one o… https://t.co/BOh2wHicgI,Mon Apr 09 14:47:09 +0000 2018,0.6808,0.219,0.0,0.781,9
9,CNN,"When it comes to Syria, President Trump can tweet and launch strikes if he wants, but not much else | Analysis by… https://t.co/q5wp5kGq43",Mon Apr 09 14:31:06 +0000 2018,-0.1901,0.0,0.077,0.923,10
10,CNN,"RT @cnni: Two of the most wanted fighters from the British ISIS cell called ""the Beatles"" spoke with @npwcnn from inside the detention faci…",Mon Apr 09 14:21:53 +0000 2018,-0.4549,0.0,0.153,0.847,11
11,CNN,"As images of Syrian children gasping and convulsing spread around the world, President Trump and other internationa… https://t.co/QFqM3UzVxs",Mon Apr 09 14:20:03 +0000 2018,0.0,0.0,0.0,1.0,12
12,CNN,Life coach Tony Robbins apologized for his comments about the #MeToo movement after suggesting during a March event… https://t.co/U0Ln3fjW8v,Mon Apr 09 14:04:35 +0000 2018,0.3182,0.119,0.0,0.881,13
13,CNN,From political refugee to CEO: How Geisha Williams made history by becoming the first Latina CEO of a Fortune 500 C… https://t.co/v9AAlj9mmM,Mon Apr 09 13:52:05 +0000 2018,0.0,0.0,0.0,1.0,14
14,CNN,Defense Secretary James Mattis on the possibility of launching airstrikes against Syrian President Bashar al-Assad'… https://t.co/4Oi2LTEfJ4,Mon Apr 09 13:40:21 +0000 2018,0.128,0.091,0.0,0.909,15
15,CNN,"""Black Panther"" passes ""Titanic"" at the box office on the all-time list of highest grossing films… https://t.co/Lf9lIVteVA",Mon Apr 09 13:29:17 +0000 2018,-0.0772,0.0,0.075,0.925,16
16,CNN,Attorney General Jeff Sessions just made the opioid war harder to win | via @CNNopinion https://t.co/eO2ZYGLkm8 https://t.co/5ZmHgOzoz7,Mon Apr 09 13:20:01 +0000 2018,-0.0258,0.175,0.18,0.645,17
17,CNN,"A disaster was narrowly averted in eastern India after a runaway train carrying up to 1,000 passengers rolled with… https://t.co/lGO0pA0YRX",Mon Apr 09 13:12:03 +0000 2018,-0.6597,0.0,0.252,0.748,18
