,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
0,Fox News,.@Richardafowler on escalating trade tension between China and the U.S. https://t.co/cEPZmWKl72,Mon Apr 09 15:48:51 +0000 2018,-0.3182,0.0,0.187,0.813,1
1,Fox News,Alex Conant: “Everyone loses in a trade war.” https://t.co/pPKIsqKU3f,Mon Apr 09 15:41:12 +0000 2018,-0.3182,0.0,0.247,0.753,2
2,Fox News,RT @FoxBusiness: Dow at session highs: https://t.co/I7RKNQgnlb https://t.co/6GPmRL0K23,Mon Apr 09 15:30:54 +0000 2018,0.0,0.0,0.0,1.0,3
3,Fox News,'Shirtless' daredevil draped in American flag climbs 200-foot crane in Hollywood https://t.co/LObFSY5JsF,Mon Apr 09 15:20:42 +0000 2018,0.128,0.12,0.0,0.88,4
4,Fox News,"Breaking News: Body of Tennessee double-murder suspect believed to be found, sheriff says https://t.co/lEbAZCvlrf",Mon Apr 09 15:06:25 +0000 2018,-0.296,0.0,0.145,0.855,5
5,Fox News,Toddler on American Airlines flight hit in head with oxygen canister that fell from ceiling during landing https://t.co/BO5ZoXFtDO,Mon Apr 09 14:43:27 +0000 2018,0.0,0.0,0.0,1.0,6
6,Fox News,"Brandon Judd: “When we have the National Guard on the border, the cartels take notice.” https://t.co/zQ5dC38M6D",Mon Apr 09 14:36:36 +0000 2018,0.0,0.0,0.0,1.0,7
7,Fox News,"“It’s going to be a huge boon."" – Brandon Judd on @USNationalGuard troops heading to the southern border https://t.co/HpdVpSk2WD",Mon Apr 09 14:34:51 +0000 2018,0.3182,0.126,0.0,0.874,8
8,Fox News,Texas Gov on Sending Nat'l Guard to Border: 'There's a Mathematical Need For This' https://t.co/zaGRhlMHdb,Mon Apr 09 14:29:26 +0000 2018,0.0,0.0,0.0,1.0,9
9,Fox News,Horse trailer carrying at least 18 illegal immigrants crashes in Southern California https://t.co/vDBNYCcCfP,Mon Apr 09 14:26:01 +0000 2018,-0.5574,0.0,0.231,0.769,10
10,Fox News,"Mac Thornberry: ""We’ve got to do whatever it takes to have planes that fly and have training that is appropriate fo… https://t.co/PxyBSYRb7e",Mon Apr 09 14:23:41 +0000 2018,0.0,0.0,0.0,1.0,11
11,Fox News,"Mac Thornberry: “What we do speaks much more clearly than what we say, and to show Putin and Assad and everybody el… https://t.co/pXOMQvtSfZ",Mon Apr 09 14:20:34 +0000 2018,0.4576,0.12,0.0,0.88,12
12,Fox News,"Mac Thornberry: “We cannot fix Syria...We have to work with our allies to try to keep a lid on things."" https://t.co/VaXqZgzSTW",Mon Apr 09 14:15:12 +0000 2018,0.0,0.0,0.0,1.0,13
13,Fox News,Tony Robbins apologizes for #MeToo comments https://t.co/NDTXRdhvmr,Mon Apr 09 14:12:15 +0000 2018,0.3612,0.294,0.0,0.706,14
14,Fox News,"Mac Thornberry: ""Syria is a cauldron of security concerns for all sorts of countries.” https://t.co/UjnLduMUV4 https://t.co/b3lTjMkMql",Mon Apr 09 14:08:49 +0000 2018,0.34,0.146,0.0,0.854,15
15,Fox News,"RT @FoxBusiness: .@SecretaryPerry: ""Now, because of American innovation, American technology, we are now in the driver's seat when it comes…",Mon Apr 09 14:05:35 +0000 2018,0.3818,0.12,0.0,0.88,16
16,Fox News,"RT @FoxBusiness: .@SecretaryPerry: ""Fracking, horizontal drilling completely changed the dynamic out there in the world from the standpoint…",Mon Apr 09 14:05:23 +0000 2018,0.4336,0.144,0.0,0.856,17
17,Fox News,"Meghan Markle, Prince Harry ask for donations to charities as wedding gifts https://t.co/UPI4eSKubw",Mon Apr 09 14:04:13 +0000 2018,0.4939,0.211,0.0,0.789,18
18,Fox News,Homeless residents brag about makeshift 'mansion' near Seattle's famed Space Needle https://t.co/O3WadCSrqE,Mon Apr 09 14:01:51 +0000 2018,0.0,0.0,0.0,1.0,19
19,Fox News,"Facebook must shape up, or it will be 'broken up,' senator warns https://t.co/Q8Rozj7Hrr #fntech (via @christocarbone)",Mon Apr 09 13:12:00 +0000 2018,-0.5423,0.0,0.243,0.757,20
20,Fox News,.@Richardafowler on escalating trade tension between China and the U.S. https://t.co/cEPZmWKl72,Mon Apr 09 15:48:51 +0000 2018,-0.3182,0.0,0.187,0.813,21
21,Fox News,Alex Conant: “Everyone loses in a trade war.” https://t.co/pPKIsqKU3f,Mon Apr 09 15:41:12 +0000 2018,-0.3182,0.0,0.247,0.753,22
22,Fox News,RT @FoxBusiness: Dow at session highs: https://t.co/I7RKNQgnlb https://t.co/6GPmRL0K23,Mon Apr 09 15:30:54 +0000 2018,0.0,0.0,0.0,1.0,23
23,Fox News,'Shirtless' daredevil draped in American flag climbs 200-foot crane in Hollywood https://t.co/LObFSY5JsF,Mon Apr 09 15:20:42 +0000 2018,0.128,0.12,0.0,0.88,24
24,Fox News,"Breaking News: Body of Tennessee double-murder suspect believed to be found, sheriff says https://t.co/lEbAZCvlrf",Mon Apr 09 15:06:25 +0000 2018,-0.296,0.0,0.145,0.855,25
25,Fox News,Toddler on American Airlines flight hit in head with oxygen canister that fell from ceiling during landing https://t.co/BO5ZoXFtDO,Mon Apr 09 14:43:27 +0000 2018,0.0,0.0,0.0,1.0,26
26,Fox News,"Brandon Judd: “When we have the National Guard on the border, the cartels take notice.” https://t.co/zQ5dC38M6D",Mon Apr 09 14:36:36 +0000 2018,0.0,0.0,0.0,1.0,27
27,Fox News,"“It’s going to be a huge boon."" – Brandon Judd on @USNationalGuard troops heading to the southern border https://t.co/HpdVpSk2WD",Mon Apr 09 14:34:51 +0000 2018,0.3182,0.126,0.0,0.874,28
28,Fox News,Texas Gov on Sending Nat'l Guard to Border: 'There's a Mathematical Need For This' https://t.co/zaGRhlMHdb,Mon Apr 09 14:29:26 +0000 2018,0.0,0.0,0.0,1.0,29
29,Fox News,Horse trailer carrying at least 18 illegal immigrants crashes in Southern California https://t.co/vDBNYCcCfP,Mon Apr 09 14:26:01 +0000 2018,-0.5574,0.0,0.231,0.769,30
30,Fox News,"Mac Thornberry: ""We’ve got to do whatever it takes to have planes that fly and have training that is appropriate fo… https://t.co/PxyBSYRb7e",Mon Apr 09 14:23:41 +0000 2018,0.0,0.0,0.0,1.0,31
31,Fox News,"Mac Thornberry: “What we do speaks much more clearly than what we say, and to show Putin and Assad and everybody el… https://t.co/pXOMQvtSfZ",Mon Apr 09 14:20:34 +0000 2018,0.4576,0.12,0.0,0.88,32
32,Fox News,"Mac Thornberry: “We cannot fix Syria...We have to work with our allies to try to keep a lid on things."" https://t.co/VaXqZgzSTW",Mon Apr 09 14:15:12 +0000 2018,0.0,0.0,0.0,1.0,33
33,Fox News,Tony Robbins apologizes for #MeToo comments https://t.co/NDTXRdhvmr,Mon Apr 09 14:12:15 +0000 2018,0.3612,0.294,0.0,0.706,34
34,Fox News,"Mac Thornberry: ""Syria is a cauldron of security concerns for all sorts of countries.” https://t.co/UjnLduMUV4 https://t.co/b3lTjMkMql",Mon Apr 09 14:08:49 +0000 2018,0.34,0.146,0.0,0.854,35
35,Fox News,"RT @FoxBusiness: .@SecretaryPerry: ""Now, because of American innovation, American technology, we are now in the driver's seat when it comes…",Mon Apr 09 14:05:35 +0000 2018,0.3818,0.12,0.0,0.88,36
36,Fox News,"RT @FoxBusiness: .@SecretaryPerry: ""Fracking, horizontal drilling completely changed the dynamic out there in the world from the standpoint…",Mon Apr 09 14:05:23 +0000 2018,0.4336,0.144,0.0,0.856,37
37,Fox News,"Meghan Markle, Prince Harry ask for donations to charities as wedding gifts https://t.co/UPI4eSKubw",Mon Apr 09 14:04:13 +0000 2018,0.4939,0.211,0.0,0.789,38
38,Fox News,Homeless residents brag about makeshift 'mansion' near Seattle's famed Space Needle https://t.co/O3WadCSrqE,Mon Apr 09 14:01:51 +0000 2018,0.0,0.0,0.0,1.0,39
39,Fox News,"Facebook must shape up, or it will be 'broken up,' senator warns https://t.co/Q8Rozj7Hrr #fntech (via @christocarbone)",Mon Apr 09 13:12:00 +0000 2018,-0.5423,0.0,0.243,0.757,40
40,Fox News,Topless woman charges at Bill Cosby as he arrives for sex assault retrial https://t.co/7ekE4V4H7F,Mon Apr 09 13:01:08 +0000 2018,-0.7096,0.0,0.33,0.67,41
41,Fox News,".@SecretaryPerry: “You’ve got to have boots on the ground, you’ve got to have the technologies, that’s the reason t… https://t.co/nGnZTfWihb",Mon Apr 09 12:59:25 +0000 2018,0.0,0.0,0.0,1.0,42
42,Fox News,73-year-old survives crash through brick wall and down 10-foot drop https://t.co/JH9HTBtN4u,Mon Apr 09 12:52:15 +0000 2018,-0.5859,0.0,0.348,0.652,43
43,Fox News,.@ScottWalker: “We protect our shores and our borders and I applaud the president for stepping up to take on illega… https://t.co/p97zi26qGq,Mon Apr 09 12:30:27 +0000 2018,0.6808,0.237,0.0,0.763,44
44,Fox News,Hackers hit Iran with US flag and 'Don't mess with our elections' warning https://t.co/Wp8Qc5G4Si,Mon Apr 09 12:10:12 +0000 2018,-0.0747,0.128,0.145,0.727,45
45,Fox News,.@GovAbbott on @foxandfriends: “Texas wants to ensure that we secure the border.” https://t.co/fwGehxeoqM,Mon Apr 09 11:46:36 +0000 2018,0.6124,0.312,0.0,0.688,46
46,Fox News,".@GovAbbott: ""The people of Texas are very appreciative that the president of the United States has recognized this… https://t.co/kMRze2Y37o",Mon Apr 09 11:45:07 +0000 2018,0.7713,0.282,0.0,0.718,47
47,Fox News,Ronald Vitello: “Consequences matter…We need to reduce the activity level at the border.” @foxandfriends https://t.co/IfOPglGQfx,Mon Apr 09 11:32:36 +0000 2018,0.0,0.0,0.0,1.0,48
48,Fox News,Cooler than average temperatures continue for the Midwest and Northeast (via @JaniceDean) https://t.co/ci8Hm7Q6Of,Mon Apr 09 11:26:49 +0000 2018,0.0,0.0,0.0,1.0,49
49,Fox News,"JUST IN: Florida GOP Gov. Rick Scott running for Senate, report says https://t.co/hQgoeiQpsb",Mon Apr 09 11:25:01 +0000 2018,0.0,0.0,0.0,1.0,50
50,Fox News,Ronald Vitello on @USNationalGuard at the southern border: “They’re going to help us by adding capacity.”… https://t.co/oiOA1sIqWU,Mon Apr 09 11:23:38 +0000 2018,0.4019,0.144,0.0,0.856,51
51,Fox News,".@RalphNorman: “I believe that the only thing that stops a bad guy with a gun, is a good guy with a gun.” https://t.co/eboQAn54i6",Mon Apr 09 11:05:02 +0000 2018,-0.5574,0.114,0.295,0.591,52
52,Fox News,"OPINION: Want jobs? Nebraska reforms have more people working, fewer on welfare and food stamps (via… https://t.co/t9QPR8HRKx",Mon Apr 09 10:58:23 +0000 2018,0.0772,0.075,0.0,0.925,53
53,Fox News,.@LindseyGrahamSC on the suspected Syria chemical attack: “I think now [Assad] is a legitimate war criminal in the… https://t.co/nunsCfmgbG,Mon Apr 09 10:32:14 +0000 2018,-0.9062,0.0,0.468,0.532,54
54,Fox News,.@LindseyGrahamSC on the suspected Syria chemical attack: “We should make [Assad] pay a heavy price by destroying h… https://t.co/e9yFdSIgWJ,Mon Apr 09 10:28:47 +0000 2018,-0.8402,0.0,0.417,0.583,55
55,Fox News,Army identifies 2 killed in helicopter crash in Kentucky https://t.co/O2k3izcQvA https://t.co/wWVEuIaCpL,Mon Apr 09 10:28:05 +0000 2018,-0.802,0.0,0.474,0.526,56
56,Fox News,Russia blames Israel for deadly airstrike on Assad base after alleged chemical attack https://t.co/ttl3yWlLZf,Mon Apr 09 10:07:05 +0000 2018,-0.7003,0.0,0.326,0.674,57
57,Fox News,.@RLHeinrichs on the Syria chemical attack: “You can’t allow chemical weapons to continue being used.”… https://t.co/CnW8ZaedJP,Mon Apr 09 09:56:41 +0000 2018,-0.6249,0.091,0.287,0.622,58
58,Fox News,Sen. Jeff Flake's son seeks new civil trial against Joe Arpaio https://t.co/rqc9nLB9Tm https://t.co/RhieDXVfYz,Mon Apr 09 09:41:32 +0000 2018,0.0,0.0,0.0,1.0,59
59,Fox News,Texas Begins Deploying Troops to the Border https://t.co/9gYLu12hvH https://t.co/VsUSbZhUtE,Mon Apr 09 09:35:10 +0000 2018,0.0,0.0,0.0,1.0,60
60,Fox News,South Carolina reps introduce bill to allow debate on secession over gun laws https://t.co/xa9m1r0ptu,Mon Apr 09 09:16:10 +0000 2018,-0.128,0.117,0.147,0.736,61
61,Fox News,"Democratic strategist Chuck Rocha: ""Nobody in America wants anybody coming here who wants to do harm to America."" https://t.co/MYBFQmnRBu",Mon Apr 09 09:01:54 +0000 2018,-0.5423,0.0,0.163,0.837,62
