,Name,Tweets,Dates,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
0,The New York Times,The signature may be going out of style https://t.co/iQpUA90mZG,Mon Apr 09 15:50:05 +0000 2018,0.0,0.0,0.0,1.0,1
1,The New York Times,The leader of ISIS in northern Afghanistan has been killed by an American airstrike https://t.co/I4KySr1aMn,Mon Apr 09 15:40:08 +0000 2018,-0.6705,0.0,0.243,0.757,2
2,The New York Times,RT @TimHerrera: Giving feedback isn’t easy! But @stephmit is in SL this week talking about how to be better — and less biased — at giving i…,Mon Apr 09 15:30:09 +0000 2018,0.8326,0.328,0.056,0.617,3
3,The New York Times,Gov. Rick Scott made official what Floridians have suspected for months: He's running for the U.S. Senate https://t.co/2IrL7lFd1j,Mon Apr 09 15:20:10 +0000 2018,-0.2263,0.0,0.101,0.899,4
4,The New York Times,The federal government’s top ethics official sent a letter to the EPA questioning Scott Pruitt's actions and asking… https://t.co/gpwZQAbPF3,Mon Apr 09 15:10:05 +0000 2018,0.1027,0.094,0.073,0.833,5
5,The New York Times,"Combative, relentless and proudly impolitic, John Bolton has a kindred spirit of sorts in President Trump, a fellow… https://t.co/rDXkTyjA3G",Mon Apr 09 15:00:21 +0000 2018,0.6705,0.317,0.0,0.683,6
6,The New York Times,"“Get a job,” one Chief Wahoo fan yelled, along with an expletive, at protesters at the Cleveland Indians' home open… https://t.co/OGmApH1WRA",Mon Apr 09 14:50:03 +0000 2018,0.1027,0.104,0.086,0.811,7
7,The New York Times,"RT @VVFriedman: Why that rumor about Anna Wintour leaving Vogue was so powerful, and what it could mean -  https://t.co/hnJqwO6cR6",Mon Apr 09 14:40:08 +0000 2018,0.5598,0.167,0.0,0.833,8
8,The New York Times,Video: Syria and Russia accused Israel of conducting aistrikes on a Syrian air base on Monday https://t.co/MxTcHGx2TG,Mon Apr 09 14:32:06 +0000 2018,-0.296,0.0,0.128,0.872,9
9,The New York Times,"RT @chashomans: I went to some of Trump's post-election rallies, and had some thoughts about them, and wrote down those thoughts: https://t…",Mon Apr 09 14:25:04 +0000 2018,0.0,0.0,0.0,1.0,10
10,The New York Times,Consumer groups said YouTube failed to comply with a federal law that requires companies to obtain consent from par… https://t.co/VLXdNstvls,Mon Apr 09 14:14:06 +0000 2018,-0.34,0.086,0.149,0.766,11
11,The New York Times,"Big power tensions in the Syria conflict, already running high after an apparent chemical weapons attack, ratcheted… https://t.co/JAhWKLryfR",Mon Apr 09 14:00:05 +0000 2018,-0.875,0.0,0.44,0.56,12
12,The New York Times,"Tony Robbins, a life coach, apologized for saying women use #MeToo to gain ""significance"" https://t.co/ZEc5Hy3QpS",Mon Apr 09 13:45:05 +0000 2018,0.6908,0.322,0.0,0.678,13
13,The New York Times,"RT @PatrickKingsley: What would happen if a far-right leader cemented power in a western state? In Viktor Orban's Hungary, it's already hap…",Mon Apr 09 13:30:07 +0000 2018,0.0,0.0,0.0,1.0,14
14,The New York Times,Video: Did these women see #MeToo coming? https://t.co/NXZ3mPD44F,Mon Apr 09 13:20:05 +0000 2018,0.0,0.0,0.0,1.0,15
15,The New York Times,"Friends of the art collector who died in a fire at Trump Tower said he had been trying to move since the election,… https://t.co/AADoOZvj7r",Mon Apr 09 13:11:10 +0000 2018,-0.4404,0.107,0.206,0.687,16
16,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/z6zdDPxTPo https://t.co/fsmzE3skCk,Mon Apr 09 13:00:27 +0000 2018,0.0,0.0,0.0,1.0,17
17,The New York Times,The post-campaign campaign of Donald Trump https://t.co/EFmeLFLJgX https://t.co/nwpMojrmlE,Mon Apr 09 12:44:06 +0000 2018,0.0,0.0,0.0,1.0,18
18,The New York Times,"When women have their first child between age 25 and 35, their pay never recovers, relative to that of their husban… https://t.co/68e886x9kv",Mon Apr 09 12:30:04 +0000 2018,-0.1027,0.0,0.062,0.938,19
19,The New York Times,European leaders' biggest fear may be that President Trump's belligerent approach to trade will destroy the postwar… https://t.co/tjShh80JUo,Mon Apr 09 12:14:03 +0000 2018,-0.7717,0.0,0.295,0.705,20
20,The New York Times,The signature may be going out of style https://t.co/iQpUA90mZG,Mon Apr 09 15:50:05 +0000 2018,0.0,0.0,0.0,1.0,21
21,The New York Times,The leader of ISIS in northern Afghanistan has been killed by an American airstrike https://t.co/I4KySr1aMn,Mon Apr 09 15:40:08 +0000 2018,-0.6705,0.0,0.243,0.757,22
22,The New York Times,RT @TimHerrera: Giving feedback isn’t easy! But @stephmit is in SL this week talking about how to be better — and less biased — at giving i…,Mon Apr 09 15:30:09 +0000 2018,0.8326,0.328,0.056,0.617,23
23,The New York Times,Gov. Rick Scott made official what Floridians have suspected for months: He's running for the U.S. Senate https://t.co/2IrL7lFd1j,Mon Apr 09 15:20:10 +0000 2018,-0.2263,0.0,0.101,0.899,24
24,The New York Times,The federal government’s top ethics official sent a letter to the EPA questioning Scott Pruitt's actions and asking… https://t.co/gpwZQAbPF3,Mon Apr 09 15:10:05 +0000 2018,0.1027,0.094,0.073,0.833,25
25,The New York Times,"Combative, relentless and proudly impolitic, John Bolton has a kindred spirit of sorts in President Trump, a fellow… https://t.co/rDXkTyjA3G",Mon Apr 09 15:00:21 +0000 2018,0.6705,0.317,0.0,0.683,26
26,The New York Times,"“Get a job,” one Chief Wahoo fan yelled, along with an expletive, at protesters at the Cleveland Indians' home open… https://t.co/OGmApH1WRA",Mon Apr 09 14:50:03 +0000 2018,0.1027,0.104,0.086,0.811,27
27,The New York Times,"RT @VVFriedman: Why that rumor about Anna Wintour leaving Vogue was so powerful, and what it could mean -  https://t.co/hnJqwO6cR6",Mon Apr 09 14:40:08 +0000 2018,0.5598,0.167,0.0,0.833,28
28,The New York Times,Video: Syria and Russia accused Israel of conducting aistrikes on a Syrian air base on Monday https://t.co/MxTcHGx2TG,Mon Apr 09 14:32:06 +0000 2018,-0.296,0.0,0.128,0.872,29
29,The New York Times,"RT @chashomans: I went to some of Trump's post-election rallies, and had some thoughts about them, and wrote down those thoughts: https://t…",Mon Apr 09 14:25:04 +0000 2018,0.0,0.0,0.0,1.0,30
30,The New York Times,Consumer groups said YouTube failed to comply with a federal law that requires companies to obtain consent from par… https://t.co/VLXdNstvls,Mon Apr 09 14:14:06 +0000 2018,-0.34,0.086,0.149,0.766,31
